,seed,actions
79,79,"[2, 3, 1, 2, 3, 2, 0, 3, 0, 2, 2, 2, 1, 3, 2, 3, 0, 3, 3, 1, 1, 2, 1, 2, 0, 3, 3, 0, 0, 2, 1, 1]"
80,80,"[2, 0, 3, 2, 2, 0, 3, 2, 3, 1, 3, 3]"
81,81,[]
82,82,"[3, 1, 1, 3, 3, 1, 2, 1, 2, 2, 2, 0, 0, 3, 1, 3, 2, 0, 3, 1, 3, 2, 3, 1, 2, 2, 2, 0, 3, 0, 3, 0, 3, 3, 1, 2, 3, 1, 2, 2, 2, 0, 3, 2, 3, 1, 3, 1, 1, 3, 3, 0, 2, 3, 2, 0, 2, 2, 0, 3, 2, 3, 1, 2, 1, 3, 2, 3, 0, 2, 2, 2, 0, 3, 3, 3, 0, 3, 1, 2, 3, 0, 2, 2, 1, 2, 2, 1, 3, 3, 3, 1, 1, 3, 3, 0, 2, 0, 1, 2, 3, 3, 1, 2, 2, 0, 0, 2, 2, 2, 0, 3, 3, 3, 0, 3, 1, 2, 3, 0, 2, 2, 1, 2, 2, 1, 3, 1, 3, 2, 3, 0, 3, 0, 3, 1, 1, 2, 1, 3, 2, 3, 0, 2, 0, 3, 0, 2, 2, 2, 2, 1, 3, 1, 3, 2, 3, 0, 3, 1]"
83,83,[]
84,84,[]
85,85,[]
86,86,"[0, 2, 3, 3, 2, 3, 1, 2, 2, 2, 2, 0, 3, 2, 3, 1, 3, 3, 3, 3, 0, 2, 3, 1, 2, 2, 2, 2, 0, 3, 3, 2, 3, 1, 3, 3, 0, 2, 2, 2]"
87,87,"[0, 3, 2, 3, 1, 3, 3, 0, 0, 2, 0, 2, 1, 3, 3, 1, 1, 2, 0, 3, 2, 1, 2, 2, 0, 3, 0, 3, 2, 1, 2, 1, 3, 3, 3, 0, 2, 3, 2, 0, 2, 0, 3, 3, 1, 2, 1, 1, 2, 2, 0, 3, 2, 3, 0, 3, 3, 1, 2, 3, 1, 2, 2, 2, 0, 3, 3, 2, 3, 0, 3, 1]"
88,88,[]
89,89,"[1, 3, 3, 3, 2, 3, 0, 3, 3, 1, 2, 3, 2, 0, 2, 1]"
90,90,"[3, 0, 0, 3, 0, 0, 2]"
91,91,[]
92,92,[]
93,93,[]
94,94,[]
95,95,[]
96,96,"[0, 2, 3, 2, 1, 3, 3, 3, 0, 2]"
97,97,[]
98,98,[]
99,99,"[2, 3, 2, 0, 2, 2, 1, 2, 3, 0, 3, 3, 1, 2, 1, 2, 2, 0, 3]"
