,seed,actions
20,20,"[2, 2, 0, 3, 0, 3, 3, 0, 2, 2, 0, 0, 2, 1, 3, 3, 1, 3, 1, 1, 2, 3, 2, 1, 2, 2, 0, 0, 3, 3, 3, 0, 2, 2, 0, 2, 1, 3, 3, 3, 1, 2, 1, 1, 2, 2, 0, 3, 2, 3, 0, 3, 3, 0, 2, 2, 2, 1, 3, 3, 3, 1, 2, 3, 2, 1, 2, 2, 0, 1, 3, 0, 3, 3, 0, 2, 0, 2, 2, 1, 3, 2, 3, 1, 3, 1, 2, 2, 0, 3, 3, 3, 0, 2, 3, 2, 1, 2, 2, 0, 3, 2, 3, 1, 3, 3, 0, 0, 2, 2, 0, 2, 1, 3, 3, 1, 3, 2, 2, 1, 2, 0, 3, 2, 1, 3, 1, 3, 0, 3, 2, 2, 2, 0, 0, 3, 3, 3, 1, 2, 3, 2, 1, 2, 2, 0, 0, 3, 3, 0, 2, 0, 2, 1, 3, 1, 1, 2, 0, 3, 3, 3, 1, 2, 2, 2, 1, 3, 2, 3, 0, 3, 3, 1, 2, 3, 2, 1, 2, 2, 0, 0, 3, 3, 3, 0, 2, 2, 0, 0, 2, 1, 3, 3, 1, 3, 1, 2, 2, 2, 1, 3, 2, 3, 0, 3, 3, 0, 2, 2, 0, 2, 1, 3, 3, 3, 1, 1, 2, 3, 2, 0, 3, 0, 2, 2, 2, 1, 3, 3, 3, 1, 2, 1, 2, 0, 3, 2, 1, 2, 0, 3, 3, 3, 0, 2, 0, 2, 1, 3, 3, 1, 2, 1, 2, 2, 0, 0, 3, 3, 3, 1, 2, 1, 2, 0, 3, 3, 0, 2, 0, 2, 0, 2, 1, 3, 3, 3, 1, 2, 1, 2, 0, 3, 3, 0, 2, 0, 2, 2, 1, 1, 0, 3, 2, 3, 1, 3, 3, 1, 2, 2, 1, 2, 0, 3, 3, 3, 0, 0, 2, 3, 2, 1, 3, 1, 2, 2, 2, 0, 3, 3, 3, 0, 2, 0, 2, 1, 3, 3, 1, 2, 1, 2, 2, 0, 0, 1, 3, 2, 3, 1, 3, 3, 0, 0, 2, 2, 0, 0, 2, 1, 3, 3, 1, 3, 1, 2, 3, 2, 1, 2, 0, 3, 3, 0, 2, 0, 2, 2, 1, 3, 2, 1, 3, 3, 3, 0, 2, 3, 2, 1, 3, 1, 2, 2, 1, 2, 0, 3, 0, 0, 2, 1]"
21,21,"[2, 3, 2, 1, 2, 2, 0, 2, 2, 0, 3, 2, 3, 1, 3, 3, 2, 2, 0, 3, 2, 3, 1, 3, 3, 2, 3, 1, 2, 2, 0, 2, 2, 0, 3, 3, 0, 3, 1, 2, 2, 2, 1, 3, 3, 1, 3, 3, 0, 2, 2, 3, 3, 1, 2, 2, 0, 0, 2, 2, 1, 3, 2, 3, 0, 3, 3, 1, 3, 1, 2, 2, 0, 3, 0, 2, 2]"
22,22,"[0, 3, 0, 0, 2, 2, 2, 2, 0, 3, 3, 3, 0, 3, 3, 1, 2, 3, 2, 1, 2, 2, 0, 3, 2, 3, 1, 3, 0, 3, 0, 2, 2]"
23,23,"[3, 2, 0, 0, 3, 1, 2, 1, 3, 3, 3, 0, 2, 3, 1, 3, 2, 2, 2, 2, 0, 3, 2, 3, 1, 3, 3, 0, 2, 3, 2, 1, 2, 0]"
24,24,"[2, 0, 1, 3, 0, 2, 0, 1, 3, 0, 2, 0, 3, 2, 2, 0, 3, 2, 3, 1, 3, 3, 0, 2, 3, 3, 3, 1, 2, 3, 2, 0, 2, 2, 0, 2, 1, 3, 1, 3, 2, 3, 0, 2, 2, 2, 1, 3, 2, 3, 0, 3, 3, 3, 3, 1, 2, 3, 2, 0, 2, 2, 1, 3, 2, 1, 2, 3, 0, 3, 0, 3, 3, 1, 2, 3, 2, 0, 2, 2, 2, 2, 1, 3, 3, 1, 2, 1, 1, 3, 0, 2, 0, 0, 3, 0, 3, 3, 1, 2, 3, 3, 0, 2, 2, 2, 2, 1, 3, 1, 0, 3, 2, 3, 0, 2, 2, 2, 1, 3, 1, 1, 1, 3, 0, 2, 0, 0, 3, 3, 0, 3, 3, 1, 2, 3, 2, 0, 2, 2, 2, 2, 1, 3, 1, 1, 3, 0, 0, 2, 2, 0, 3, 0, 3, 3, 1, 3, 1, 2, 3, 3, 0, 2, 2, 0, 2, 2, 1, 3, 2, 1, 3, 0, 3, 3, 1, 2, 2, 3, 3, 0, 2, 2, 2, 2, 1, 3, 2, 3, 0, 3, 1, 1, 2, 1, 1, 3, 0, 0, 0, 3, 3, 0, 2, 0, 2, 2, 1, 3]"
25,25,"[0, 2, 3, 1, 2, 0, 2, 2]"
26,26,"[1, 3, 2, 3, 1, 2, 1, 1, 1, 3, 3, 0, 2, 3, 2, 0, 2, 0, 3, 0, 2, 0, 3, 3, 1, 2, 3, 0, 2, 2, 1, 1, 3, 1, 1, 3, 1, 2, 2, 0]"
27,27,"[1, 2, 3, 3, 2, 2, 0, 2, 2, 1, 3, 2, 3, 0, 3, 3, 1, 2, 2]"
28,28,[]
29,29,"[0, 2, 1, 1, 3, 1, 2]"
